date,open,high,low,close
2020/3/27,109.592,109.635,107.747,107.915
2020/3/26,111.187,111.264,109.203,109.587
2020/3/25,111.36,111.681,110.75,111.196
2020/3/24,111.093,111.709,110.082,111.228
2020/3/23,110.723,111.595,109.666,111.248
2020/3/20,110.694,111.5,109.327,111.104
2020/3/19,107.912,110.951,107.827,110.604
2020/3/18,107.63,108.651,106.752,108.069
2020/3/17,105.893,107.859,105.819,107.63
2020/3/16,106.945,107.571,105.139,105.969
2020/3/13,104.766,108.502,104.506,107.996
2020/3/12,104.36,106.093,103.076,104.661
2020/3/11,105.531,105.566,104.095,104.474
2020/3/10,102.248,105.918,101.988,105.596
2020/3/9,104.391,104.59,101.175,102.42
2020/3/6,106.113,106.344,104.991,105.416
2020/3/5,107.496,107.741,105.965,106.137
2020/3/4,107.09,107.687,106.849,107.548
2020/3/3,108.302,108.535,106.93,107.1
2020/3/2,107.361,108.578,107.327,108.34
2020/2/28,109.548,109.681,107.506,108.022
2020/2/27,110.359,110.457,109.609,109.659
2020/2/26,110.133,110.702,110.129,110.407
2020/2/25,110.658,111.042,109.891,110.185
2020/2/24,111.244,111.684,110.332,110.717
2020/2/21,112.066,112.187,111.473,111.573
2020/2/20,111.309,112.227,111.111,112.106
2020/2/19,109.846,111.593,109.832,111.349
2020/2/18,109.817,109.947,109.657,109.876
2020/2/17,109.824,109.961,109.72,109.88
2020/2/14,109.786,109.911,109.697,109.767
2020/2/13,110.051,110.088,109.618,109.824
2020/2/12,109.771,110.133,109.754,110.111
2020/2/11,109.753,109.965,109.727,109.787
2020/2/10,109.661,109.878,109.563,109.77
2020/2/7,109.962,110.014,109.532,109.785
2020/2/6,109.774,110.002,109.761,109.985
2020/2/5,109.468,109.845,109.304,109.834
2020/2/4,108.677,109.544,108.549,109.516
2020/2/3,108.461,108.798,108.299,108.686
2020/1/31,108.912,109.136,108.31,108.347
2020/1/30,108.985,109.063,108.583,108.956
2020/1/29,109.11,109.261,108.976,109.037
2020/1/28,108.862,109.203,108.756,109.152
2020/1/27,108.897,109.136,108.732,108.897
2020/1/24,109.469,109.652,109.171,109.268
2020/1/23,109.821,109.84,109.266,109.478
2020/1/22,109.829,110.098,109.809,109.847
2020/1/21,110.154,110.222,109.759,109.862
2020/1/20,110.067,110.217,110.061,110.173
2020/1/17,110.137,110.29,110.047,110.162
2020/1/16,109.86,110.178,109.84,110.167
2020/1/15,109.962,110.002,109.788,109.906
2020/1/14,109.897,110.213,109.849,110.001
2020/1/13,109.517,109.947,109.493,109.942
2020/1/10,109.519,109.69,109.431,109.482
2020/1/9,109.06,109.582,109.012,109.517
2020/1/8,108.441,109.245,107.651,109.136
2020/1/7,108.334,108.628,108.262,108.482
2020/1/6,107.822,108.505,107.774,108.373
2020/1/3,108.532,108.629,107.84,108.106
2020/1/2,108.719,108.865,108.212,108.543
2019/12/31,108.849,108.878,108.47,108.64
2019/12/30,109.362,109.458,108.767,108.876
2019/12/27,109.541,109.591,109.388,109.48
2019/12/26,109.332,109.683,109.332,109.635
2019/12/25,109.349,109.397,109.33,109.371
2019/12/24,109.383,109.441,109.326,109.35
2019/12/23,109.392,109.538,109.339,109.378
2019/12/20,109.304,109.525,109.254,109.469
2019/12/19,109.538,109.684,109.182,109.358
2019/12/18,109.487,109.627,109.399,109.577
2019/12/17,109.533,109.634,109.443,109.496
2019/12/16,109.249,109.676,109.247,109.564
2019/12/13,109.376,109.706,109.172,109.343
2019/12/12,108.526,109.424,108.457,109.296
2019/12/11,108.705,108.855,108.46,108.554
2019/12/10,108.57,108.766,108.513,108.739
2019/12/9,108.607,108.677,108.429,108.549
2019/12/6,108.723,108.923,108.435,108.55
2019/12/5,108.833,108.999,108.655,108.747
2019/12/4,108.587,108.963,108.427,108.869
